Run ID,Transform Init,Transforms,Output Transform,Fold,Best Epoch,Test F1,Test Precision,Test Recall,Test Accuracy,TN,FP,FN,TP
o0l8zwny,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-30, 30))], p=0.5)",None,2,9,0.45714285714285713,1.0,0.2962962962962963,,144,0,19,8
vpat27ca,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-15, 15))], p=0.5)",None,2,22,0.06896551724137931,0.5,0.037037037037037035,,143,1,26,1
a0tj3qw4,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.3, 0.3))], p=0.5)",None,2,14,0.4117647058823529,1.0,0.25925925925925924,,144,0,20,7
h16u2g3e,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)",None,2,27,0.5263157894736842,0.9090909090909092,0.3703703703703703,,143,1,17,10
dlkvvtzc,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.0, 0.15))], p=0.5)",None,2,35,0.07142857142857142,1.0,0.037037037037037035,,144,0,26,1
je63jjca,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.0))], p=0.5)",None,2,36,0.0,0.0,0.0,,143,1,27,0
wvlvpmxo,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))",None,None,2,38,0.07142857142857142,1.0,0.037037037037037035,,144,0,26,1
rwfnkt9c,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(1.0, 1.15), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",None,1,31,0.00975609756097561,0.005681818181818182,0.034482758620689655,,126,175,28,1
2y5hbt1b,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(0.85, 1.0), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",None,1,14,0.010204081632653062,0.005988023952095809,0.034482758620689655,,135,166,28,1
64e73w0j,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(0.85, 1.15), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",None,1,19,0.0,0.0,0.0,,157,144,29,0
pslwcdot,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(0.7, 1.3), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",None,1,17,0.0,0.0,0.0,,140,161,29,0
olebitab,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(0.7, 1.3))], p=0.5)",None,1,8,0.05882352941176471,0.03428571428571429,0.20689655172413793,,132,169,23,6
5cbwbjdw,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(0.85, 1.15))], p=0.5)",None,1,25,0.0,0.0,0.0,,132,169,29,0
1kk0jq1r,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(0.85, 1.0))], p=0.5)",None,1,24,0.029268292682926828,0.017045454545454544,0.10344827586206896,,128,173,26,3
risfac08,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(1.0, 1.15))], p=0.5)",None,1,31,0.0,0.0,0.0,,158,143,29,0
yqsbg4af,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))",T.RandomVerticalFlip(p=0.5),None,1,32,0.0,0.0,0.0,,177,124,29,0
c1f49z6w,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))",T.RandomHorizontalFlip(p=0.5),None,1,38,0.0,0.0,0.0,,151,150,29,0
