Transforms,Test F1_mean,Test F1_max,Test F1_min,Test Precision_mean,Test Precision_max,Test Precision_min,Test Recall_mean,Test Recall_max,Test Recall_min,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min,sweep_type,average_metric
"MT.RandGaussianSharpen(prob=0.5, alpha=(2.0, 2.0))",0.2543057503506311,0.608695652173913,0.0,0.4046428781722899,1.0,0.0,0.2676663289429247,0.7446808510638298,0.0,,,,pixel-level,0.37063113604488074
"MT.RandShiftIntensity(prob=0.5, offsets=(-0.1, 0.1))",0.2779457269584046,0.7368421052631579,0.0,0.5512878787878788,1.0,0.0,0.2448091860857818,0.7446808510638298,0.0,,,,pixel-level,0.4337097055844654
"MT.RandShiftIntensity(prob=0.5, offsets=(-0.1, 0.4))",0.1476109986095229,0.2909090909090909,0.0,0.2712159329140461,1.0,0.0,0.1658944050433412,0.4,0.0,,,,pixel-level,0.19016913566839783
"MT.RandShiftIntensity(prob=0.5, offsets=(0.05, 0.05))",0.1996331040233479,0.5691056910569106,0.0,0.2153078775369797,0.5882352941176471,0.0,0.2283012495778453,0.7446808510638298,0.0,,,,pixel-level,0.3274588284344382
"MT.RandShiftIntensity(prob=0.5, offsets=(0.1, 0.1))",0.2403834260977118,0.4897959183673469,0.0,0.4451040221914007,1.0,0.0,0.2619520432286389,0.7446808510638298,0.0,,,,pixel-level,0.3161100803957947
"MT.RandShiftIntensity(prob=0.5, offsets=(0.1, 0.4))",0.3112743534054726,0.8395061728395062,0.0,0.5895833333333333,1.0,0.0,0.2519824383654171,0.723404255319149,0.0,,,,pixel-level,0.49143964583853883
"MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(2, 2))",0.3150868353344768,0.6603773584905661,0.0,0.27346973904298,0.5932203389830508,0.0,0.3806822019587977,0.7446808510638298,0.0,,,,pixel-level,0.42169436106346486
"MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(2, 2), gamma=(0.5, 1.5))",0.2103421286425017,0.7466666666666666,0.0,0.2585644658828258,1.0,0.0,0.2230642800855566,0.5957446808510638,0.0,,,,pixel-level,0.4038377309879175
"MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(3, 3))",0.2125657020145209,0.7792207792207793,0.0,0.2406666666666666,1.0,0.0,0.2241675109760216,0.6382978723404256,0.0,,,,pixel-level,0.4179711626955722
"MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(3, 3), gamma=(0.5, 1.5))",0.1491264367816092,0.4166666666666666,0.0,0.1978512396694214,0.5,0.0,0.2306292919058876,0.7446808510638298,0.0,,,,pixel-level,0.24122988505747123
"MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(5, 5))",0.195737593916429,0.4761904761904761,0.0,0.1490948786166102,0.3508771929824561,0.0,0.2923406584448403,0.7446808510638298,0.0,,,,pixel-level,0.28834498743440495
"MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(5, 5), gamma=(0.5, 1.5))",0.1907994695462726,0.5147058823529412,0.0,0.2568322263135253,0.6666666666666666,0.0,0.2602589215355173,0.7446808510638298,0.0,,,,pixel-level,0.3012820877143128
None,0.1747744728389889,0.4666666666666667,0.0,0.340342117429496,1.0,0.0,0.2299943712709669,0.7446808510638298,0.0,,,,None,0.2740539030861611
"T.RandomAdjustSharpness(sharpness_factor=1.5, p=0.5)",0.2693511763436218,0.8536585365853657,0.0,0.3536434108527132,1.0,0.0,0.234015535292131,0.7446808510638298,0.0,,,,pixel-level,0.4761390028059572
"T.RandomAdjustSharpness(sharpness_factor=2.0, p=0.5)",0.2025906120023767,0.7070707070707072,0.0,0.1866153846153846,0.6730769230769231,0.0,0.2232218844984802,0.7446808510638298,0.0,,,,pixel-level,0.38412358882947123
"T.RandomAdjustSharpness(sharpness_factor=2.5, p=0.5)",0.234141621129326,0.7777777777777778,0.0,0.24496855611362,0.813953488372093,0.0,0.234015535292131,0.7446808510638298,0.0,,,,pixel-level,0.4281819216757741
"T.RandomAdjustSharpness(sharpness_factor=3.0, p=0.5)",0.2661194383709596,0.7792207792207793,0.0,0.4789162561576355,1.0,0.0,0.2332680400765507,0.6382978723404256,0.0,,,,pixel-level,0.44474803087379156
"T.RandomApply([T.ColorJitter(brightness=0.1, contrast=0.1, saturation=0.1, hue=0.1)], p=0.5)",0.2820963926039356,0.8536585365853657,0.0,0.4303030303030303,1.0,0.0,0.2431160643926601,0.7446808510638298,0.0,,,,pixel-level,0.4825116109361141
"T.RandomApply([T.ColorJitter(brightness=0.15, contrast=0.15)], p=0.5)",0.2510916307859115,0.7608695652173912,0.0,0.4724358974358974,1.0,0.0,0.2357086569852527,0.7446808510638298,0.0,,,,pixel-level,0.42989364147991227
"T.RandomApply([T.ColorJitter(brightness=0.3)], p=0.5)",0.2230820549031601,0.6862745098039216,0.0,0.3710227272727272,1.0,0.0,0.2545446358212315,0.7446808510638298,0.0,,,,pixel-level,0.3860508313731487
"T.RandomApply([T.ColorJitter(brightness=0.3, contrast=0.3)], p=0.5)",0.119043180838071,0.2928870292887029,0.0,0.08999770845986,0.1822916666666666,0.0,0.2299943712709669,0.7446808510638298,0.0,,,,pixel-level,0.17667640213451669
"T.RandomApply([T.ColorJitter(brightness=0.3, contrast=0.3, saturation=0.3)], p=0.5)",0.2267495173745174,0.7297297297297298,0.0,0.4821310702498821,1.0,0.0,0.1902375323651919,0.574468085106383,0.0,,,,pixel-level,0.4052666505791507
